Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label
HD 149026 b,6.83749,113.14748,0.04288,6147.0,0
HD 149026 b,7.330686,114.10097,0.04313,6160.0,0
HD 152843 b,3.41,11.56,0.1053,6310.0,0
HD 15337 b,1.699,7.2,0.05245,5131.0,0
HD 15337 b,1.64,7.51,0.0522,5125.0,0
HD 15337 c,2.522,8.79,0.1235,5131.0,0
HD 15337 c,2.39,8.11,0.1268,5125.0,0
HD 17156 b,12.184183,1028.18005,0.16278,6079.0,0
HD 17156 b,11.43,1023.37,0.1614,6100.0,0
HD 17156 b,11.937585,1036.76146,0.1637,6079.0,0
HD 183579 b,3.55,19.7,0.1334,5788.0,0
HD 183579 b,3.53,11.2,0.13,5706.0,0
HD 183579 b,3.49,20.4,0.1322,5784.0,0
HD 18599 b,2.7,25.5,0.05,5083.0,0
HD 18599 b,2.6,24.1,0.048,5145.0,0
HD 189733 b,12.756,363.582,0.03099,5040.0,0
HD 189733 b,12.901559,365.5045,0.03142,5050.0,0
HD 189733 b,12.542871,370.58978,0.03106,5050.0,0
HD 189733 b,14.12,365.49,0.0313,5050.0,0
HD 189733 b,12.755842,356.92309,0.031,5040.0,0
HD 191939 b,3.39512346,9.6,0.079,5385.0,0
HD 191939 b,3.39,10.4,0.078,5348.0,0
HD 191939 b,3.41,10.0,0.0804,5348.0,0
HD 191939 c,3.195,8.0,0.1752,5348.0,0
HD 191939 c,3.08,7.2,0.17,5348.0,0
HD 191939 c,3.1823776,6.1,0.171,5385.0,0
HD 191939 d,3.1168896,2.2,0.209,5385.0,0
HD 191939 d,2.995,2.8,0.2132,5348.0,0
HD 191939 d,3.04,5.8,0.207,5348.0,0
HD 202772 A b,17.317905,323.23311,0.05208,6272.0,0
HD 20329 b,1.72,7.42,0.018,5596.0,0
HD 207496 b,2.25,6.1,0.0629,4819.0,0
HD 207897 b,2.501,14.4,0.1163,5070.0,0
HD 207897 b,2.34302132,14.8,0.117,5106.0,0
HD 209458 b,15.233031,216.76006,0.04707,6065.0,0
HD 209458 b,15.80469,235.1942,0.049,6071.0,0
HD 209458 b,14.24,200.22,0.0467,6000.0,0
HD 209458 b,15.46842,226.93062,0.04747,6117.0,0
HD 209458 b,15.233,217.704,0.04707,6065.0,0
HD 209458 b,15.92,197.05,0.046,6025.0,0
HD 213885 b,1.745,8.83,0.02012,5978.0,0
HD 21520 b,2.697,17.7,0.1726,5871.0,0
HD 21749 c,0.892,3.7,0.0695,4640.0,0
HD 219134 b,1.606,4.3361199,0.0382,4699.0,0
HD 219134 b,1.602,4.74,0.03876,4699.0,0
HD 219134 c,1.511,4.36,0.0653,4699.0,0
HD 219134 d,1.61,16.17,0.237,4699.0,0
HD 219134 f,1.31,7.3,0.1463,4699.0,0
HD 219666 b,4.71,16.6,0.06356,5527.0,0
HD 221416 b,9.17,60.5,0.1228,5080.0,0
HD 22946 d,2.607,26.57,0.2958,6169.0,0
HD 23472 b,2.0,8.32,0.1162,4684.0,0
HD 23472 c,1.87,3.41,0.1646,4684.0,0
HD 23472 d,0.75,0.55,0.04298,4684.0,0
HD 23472 e,0.818,0.72,0.068,4684.0,0
HD 23472 f,1.137,0.77,0.0906,4684.0,0
HD 235088 b,2.07506422,4.2,0.071,5087.0,0
HD 235088 b,1.982,4.15,0.0706,5075.0,0
HD 25463 b,2.62,8.5,0.076,6220.0,0
HD 25463 b,2.54535814,8.7,0.076,6353.0,0
HD 25463 c,1.36354953,4.3,0.0443,6353.0,0
HD 25463 c,1.5,4.1,0.0435,6220.0,0
HD 260655 b,1.24,2.14,0.02933,3803.0,0
HD 260655 c,1.533,3.09,0.04749,3803.0,0
HD 2685 b,16.14096,371.8611,0.0568,6801.0,0
HD 28109 b,2.199,18.496,0.1357,6120.0,0
HD 28109 c,4.23,7.943,0.308,6120.0,0
HD 28109 d,3.25,5.681,0.411,6120.0,0
HD 3167 b,1.7,5.02,0.01815,5261.0,0
HD 3167 b,1.67,4.97,0.01796,5261.0,0
HD 3167 b,1.627,4.73,0.01802,5300.0,0
HD 3167 b,1.574,5.69,0.01752,5286.0,0
HD 3167 c,3.0,11.13,0.1776,5261.0,0
HD 3167 c,2.923,10.67,0.1783,5300.0,0
HD 3167 c,2.74,8.33,0.1806,5286.0,0
HD 3167 c,3.01,9.8,0.1795,5261.0,0
HD 332231 b,9.07303305,74.1,0.145,6128.0,0
HD 332231 b,9.718203,77.55052,0.1436,6089.0,0
HD 35843 c,2.54,11.32,0.25,5666.0,0
HD 42813 b,3.41,9.1,0.111,5289.0,0
HD 42813 b,3.36,5.8,0.109,5240.0,0
HD 42813 b,3.42633318,5.9,0.11,5323.0,0
HD 42813 b,3.48,9.6,0.107,5289.0,0
HD 5278 b,2.45,7.8,0.1202,6203.0,0
HD 6061 b,2.42763557,10.0,0.06,5934.0,0
HD 6061 b,2.45,10.8,0.059,5920.0,0
HD 63433 b,2.16351593,37.3,0.072,5634.0,0
HD 63433 c,2.58229101,17.2,0.146,5634.0,0
HD 63454 b,12.31,126.0,0.0368,4840.0,0
HD 63935 b,2.91575244,10.5,0.083,5513.0,0
HD 63935 c,3.06451296,11.1,0.148,5513.0,0
HD 73344 b,2.884,10.48,0.131,6252.6,0
HD 73583 b,2.79,10.2,0.0604,4511.0,0
HD 73583 b,2.84,15.9,0.05995,4582.0,0
HD 73583 c,2.39,9.7,0.1242,4511.0,0
HD 73583 c,2.73,22.5,0.1233,4582.0,0
HD 77946 b,2.705,8.38,0.072,6046.0,0
HD 77946 b,2.89646124,10.9,0.073,6007.0,0
HD 80606 b,11.242627,1308.18828,0.4565,5574.0,0
HD 80606 b,11.242627,1307.55262,0.4564,5574.0,0
HD 80653 b,1.613,5.72,0.01661,5959.0,0
HD 86226 c,2.16,7.25,0.049,5863.0,0
HD 88986 b,2.49,17.2,0.58,5861.0,0
HD 89345 b,7.39794,34.9613,0.1066,5576.0,0
HD 89345 b,7.263432,38.45743,0.1115,5622.0,0
HD 89345 b,6.86,35.7,0.105,5499.0,0
HD 93963 A b,1.35,7.8,0.02085,5987.0,0
HD 93963 A b,1.46954368,2.8,0.02061,5908.0,0
HD 93963 A c,3.228,19.2,0.04813,5987.0,0
HD 93963 A c,3.11976057,18.4,0.04726,5908.0,0
HD 95338 b,3.89,42.44,0.262,5212.0,0
HD 97658 b,2.247,7.55,0.08,5170.0,0
HD 97658 b,2.341,7.86,0.0796,5119.0,0
HIP 116454 b,2.53,10.1,0.07765,5089.0,0
HIP 116454 b,2.53,11.82,0.0906,5089.0,0
HIP 116454 b,2.469,9.7,0.0792,5048.0,0
HIP 29442 c,1.551,4.5,0.04518,5289.0,0
HIP 29442 c,1.58,4.5,0.0436,5289.0,0
HIP 29442 d,1.37,5.1,0.0649,5289.0,0
HIP 29442 d,1.538,5.14,0.0673,5289.0,0
HIP 65 A b,22.75427,1021.18779,0.01782,4590.0,0
HIP 65426 b,16.8135,2860.47,92.0,8840.0,0
HIP 8152 b,2.56,7.8,0.092,5530.0,0
HIP 8152 b,2.53625843,8.9,0.093,5618.0,0
HIP 8152 c,2.52442508,10.7,0.139,5618.0,0
HIP 8152 c,2.48,9.4,0.138,5530.0,0
HIP 94235 b,3.0,379.0,0.0787,5991.0,0
HIP 9618 b,3.82838127,8.3,0.145,5649.0,0
HIP 9618 b,3.75,8.4,0.144,5550.0,0
HIP 9618 b,3.9,10.0,0.1438,5609.0,0
HIP 9618 c,3.34,7.9,0.268,5550.0,0
HIP 9618 c,3.343,18.3,0.2669,5609.0,0
HIP 9618 c,3.42855926,7.0,0.269,5649.0,0
HIP 97166 b,2.74,20.0,0.089,5198.0,0
HIP 97166 b,2.4801338,19.1,0.091,5216.0,0
HR 858 b,2.004,3.55,0.04888,6354.0,0
HR 858 c,1.979,3.8,0.0687,6354.0,0
HR 858 d,2.001,7.1,0.1046,6354.0,0
HR 8799 e,13.11453,3178.3,16.4,7400.0,0
K2-100 b,3.88,21.8,0.0301,5945.0,0
K2-105 b,3.59,30.0,0.081,5434.0,0
K2-107 b,16.14096,266.9772,0.048,6030.0,0
K2-108 b,5.28,59.4,0.0573,5474.0,0
K2-110 b,2.592,15.9,0.10207,5010.0,0
K2-110 b,2.592,16.7,0.1021,5010.0,0
K2-111 b,1.82,5.58,0.0565,5775.0,0
K2-111 b,1.82,5.29,0.057,5775.0,0
K2-111 b,1.9,8.6,0.0621,5730.0,0
K2-113 b,10.42437,410.0007,0.0558,5627.0,0
K2-114 b,10.59248676,638.83509807,0.0944,4899.0,0
K2-114 b,10.558878,587.9855,0.09309,5027.0,0
K2-114 b,10.44677001,638.83509807,0.0943,4920.0,0
K2-115 b,12.498035,266.9772,0.1367,5560.0,0
K2-115 b,11.80305668,321.00669107,0.1415,5870.0,0
K2-12 b,2.44,5.2,0.0792,5672.0,0
K2-131 b,1.69,7.9,0.00936,5120.0,0
K2-132 b,12.206601,157.32585,0.0916,4878.0,0
K2-136 b,1.014,4.3,0.0707,4500.0,0
K2-136 c,3.0,18.1,0.1185,4500.0,0
K2-136 d,1.565,3.0,0.1538,4500.0,0
K2-137 b,0.89,158.915,0.0058,3492.0,0
K2-138 b,1.51,3.1,0.03385,5356.3,0
K2-138 c,2.299,6.31,0.04461,5356.3,0
K2-138 d,2.39,7.92,0.05893,5356.3,0
K2-138 e,3.39,12.97,0.0782,5356.3,0
K2-138 f,2.904,1.63,0.10447,5356.3,0
K2-138 g,3.013,4.32,0.23109,5356.3,0
K2-139 b,9.056872,123.00021,0.179,5340.0,0
K2-140 b,12.273855,323.86877,0.0591,5654.0,0
K2-140 b,13.56286665,295.58041851,0.068,5585.0,0
K2-141 b,1.54,5.31,0.00716,4373.0,0
K2-141 b,1.51,4.97,0.00747,4570.0,0
K2-141 c,7.0,8.0,0.0683,4570.0,0
K2-146 b,2.25,5.6,0.0248,3385.0,0
K2-146 c,2.59,7.1,0.0327,3385.0,0
K2-157 b,0.935,1.14,0.00962,5334.0,0
K2-167 b,2.3,6.5,0.091,6011.0,0
K2-18 b,2.37,8.92,0.1429,3457.0,0
K2-18 b,2.38,7.96,0.143,3457.0,0
K2-18 b,2.61,8.63,0.1591,3457.0,0
K2-180 b,2.46597575,11.41003981,0.0756,5365.0,0
K2-180 b,2.24179614,11.44182265,0.075,5110.0,0
K2-182 b,2.69,20.0,0.0526,5170.0,0
K2-182 b,2.71257333,20.97667486,0.05174,5128.0,0
K2-19 b,7.46,44.0,0.0762,5390.0,0
K2-19 c,4.51,15.9,0.1001,5390.0,0
K2-199 b,1.73,6.9,0.0382,4491.0,0
K2-199 c,2.85,12.4,0.0662,4491.0,0
K2-216 b,1.75,8.0,0.028,4503.0,0
K2-22 b,2.5,444.962,0.0088,3830.0,0
K2-222 b,2.35,8.7,0.1206,5942.0,0
K2-229 b,1.164,2.59,0.012888,5185.0,0
K2-229 c,2.12,21.3,0.07577,5185.0,0
K2-232 b,11.209,126.49634,0.10356,6154.0,0
K2-232 b,11.859122,123.00021,0.0991,5888.0,0
K2-233 b,1.343,11.26,0.03308,5033.0,0
K2-233 c,1.281,12.81,0.06666,5033.0,0
K2-233 d,2.358,21.14,0.15224,5033.0,0
K2-237 b,18.49485,508.528,0.037,6257.0,0
K2-237 b,16.06246934,434.15360396,0.03552,6180.0,0
K2-237 b,18.405178,392.83788,0.0353,6099.0,0
K2-237 b,16.19697711,433.20011874,0.03558,6360.0,0
K2-238 b,14.5717,273.3338,0.046,5630.0,0
K2-24 b,5.68,21.0,0.154,5743.0,0
K2-24 c,7.82,27.0,0.247,5743.0,0
K2-25 b,3.44,24.5,0.0287,3207.0,0
K2-260 b,18.41635529,546.66486004,0.04392,6860.0,0
K2-260 b,17.396368,451.3186,0.0404,6367.0,0
K2-261 b,9.50521563,67.69745069,0.1087,5503.0,0
K2-261 b,9.52765,70.87609,0.102,5537.0,0
K2-261 b,9.26982704,68.96876432,0.1086,5490.0,0
K2-261 b,9.52763359,59.75174052,0.1034,5445.0,0
K2-263 b,2.41,14.8,0.2573,5368.0,0
K2-263 b,2.41,14.9,0.2573,5368.0,0
K2-265 b,1.70824866,7.3418362,0.03359,5420.0,0
K2-265 b,1.71,6.54,0.03376,5477.0,0
K2-266 b,3.3,11.26782377,0.01306,4285.0,0
K2-266 c,0.705,0.29013072,0.0679,4285.0,0
K2-266 d,2.93,8.9,0.1035,4285.0,0
K2-266 e,2.73,14.3,0.1249,4285.0,0
K2-27 b,4.48,30.9,0.06702,5248.0,0
K2-280 b,7.5,37.1,0.1461,5500.0,0
K2-285 b,2.59,9.68,0.03817,4975.0,0
K2-285 c,3.53,15.68,0.0824,4975.0,0
K2-285 d,2.48,6.5,0.1178,4975.0,0
K2-285 e,1.95,10.7,0.18041,4975.0,0
K2-287 b,9.494023,100.11645,0.1206,5695.0,0
K2-29 b,13.33871,232.0159,0.04217,5358.0,0
K2-29 b,11.209,194.82979,0.04097,5222.0,0
K2-290 b,3.06,10.9,0.0923,6302.0,0
K2-290 c,11.276254,246.00042,0.305,6302.0,0
K2-291 b,1.589,6.49,0.03261,5520.0,0
K2-292 b,2.63,24.5,0.13,5725.0,0
K2-295 b,10.054473,106.47305,0.0451,4444.0,0
K2-3 b,2.078,5.11,0.0747,3844.0,0
K2-3 b,2.25,6.47,0.0778,3835.0,0
K2-3 b,2.29,6.6,0.0777,3835.0,0
K2-3 c,1.77,3.1,0.1413,3835.0,0
K2-3 c,1.582,2.68,0.1357,3844.0,0
K2-3 c,1.69,3.3,0.1414,3835.0,0
K2-3 d,1.62,1.6,0.2097,3835.0,0
K2-3 d,1.458,2.2,0.2014,3844.0,0
K2-3 d,1.65,1.8,0.2097,3835.0,0
K2-30 b,11.982421,187.20187,0.0419,5575.0,0
K2-30 b,13.405964,198.00809,0.04986,5581.0,0
K2-30 b,11.646151,184.02357,0.04839,5425.0,0
K2-31 b,11.88154,563.83042,0.022,5280.0,0
K2-32 b,5.299,15.0,0.0795,5271.0,0
K2-32 b,5.13,16.5,0.08036,5275.0,0
K2-32 c,3.01,12.1,0.1399,5275.0,0
K2-32 c,3.134,8.1,0.13843,5271.0,0
K2-32 d,3.43,10.3,0.1862,5275.0,0
K2-32 d,3.484,6.7,0.18422,5271.0,0
K2-32 e,1.212,2.1,0.04899,5271.0,0
K2-329 b,8.675766,82.6358,0.1016,5282.0,0
K2-33 b,5.76,1144.188,0.0409,3410.0,0
K2-34 b,15.434793,539.67534,0.0465,6149.0,0
K2-34 b,16.14096,563.51259,0.0445,6087.0,0
K2-34 b,15.13215,559.3808,0.04419,6132.0,0
K2-36 b,1.43,4.3,0.02288,4916.0,0
K2-36 b,1.43,3.9,0.0223,4916.0,0
K2-36 c,3.2,7.8,0.054,4916.0,0
K2-36 c,3.2,7.9,0.05528,4916.0,0
K2-38 b,1.54,7.3,0.04994,5731.0,0
K2-38 b,1.55,12.0,0.0506,5757.0,0
K2-38 b,1.655,7.7,0.0503,5705.0,0
K2-38 c,2.29,8.3,0.09514,5731.0,0
K2-38 c,2.42,9.9,0.0964,5757.0,0
K2-38 c,2.49,7.4,0.0959,5705.0,0
K2-39 b,5.71,39.8,0.0574,4912.0,0
K2-39 b,8.2,50.3,0.062,4881.0,0
K2-415 b,1.015,7.5,0.027,3173.0,0
K2-416 b,2.66,1652.7077164,0.088,3746.0,0
K2-417 b,3.31,699.2224954,0.063,3861.0,0
K2-419 A b,10.55,196.0,0.1208,3711.0,0
K2-60 b,7.655747,135.39558,0.045,5500.0,0
K2-66 b,2.49,21.3,0.05983,5887.0,0
K2-79 b,4.09,9.2,0.0988,5897.0,0
K2-97 b,13.45077684,174.48779544,0.0854,4673.0,0
K2-98 b,4.3,32.2,0.0943,6120.0,0
K2-98 b,5.06645928,34.00763955,0.0986,6260.0,0
K2-99 b,14.45961,308.2951,0.159,5990.0,0
K2-99 b,11.88151954,276.51071409,0.153,6069.0,0
KELT-1 b,12.442,8654.15,0.02466,6516.0,0
KELT-10 b,15.681391,215.80657,0.0525,5948.0,0
KELT-11 b,15.35633,61.97685,0.06229,5370.0,0
KELT-11 b,15.13212395,65.15482343,0.0623,5375.0,0
KELT-12 b,19.95202,301.9385,0.06708,6279.0,0
KELT-14 b,17.03768,380.12468,0.02956,5802.0,0
KELT-14 b,19.537287,408.09372,0.03005,5720.0,0
KELT-15 b,16.174587,289.2253,0.04613,6003.0,0
KELT-16 b,15.860735,874.0325,0.02044,6236.0,0
KELT-17 b,17.093725,416.3573,0.04881,7454.0,0
KELT-18 b,17.59813,375.0394,0.0455,6670.0,0
KELT-19 A b,21.40919,1293.5681,0.0637,7500.0,0
KELT-2 A b,14.4147,483.717,0.05496,6151.0,0
KELT-2 A b,14.45961,485.32641,0.05497,6148.0,0
KELT-20 b,19.514869,1074.90106,0.0542,8720.0,0
KELT-20 b,20.51247,5403.11,0.057,8980.0,0
KELT-21 b,17.777474,1242.7153,0.05224,7598.0,0
KELT-23 A b,14.829507,298.12454,0.03302,5899.0,0
KELT-24 b,15.24421375,1334.8793094,0.067,6415.0,0
KELT-24 b,12.71098411,1458.83238813,0.0665,6426.0,0
KELT-24 b,14.257848,1646.3594,0.06969,6509.0,0
KELT-3 b,15.076,469.415,0.04122,6306.0,0
KELT-3 b,15.076105,469.75274,0.04123,6308.0,0
KELT-4 A b,19.044091,286.68266,0.04317,6206.0,0
KELT-6 b,13.372,136.661,0.07939,6102.0,0
KELT-6 b,13.22662,140.48086,0.0804,6272.0,0
KELT-6 b,13.22662,141.0,0.08,6272.0,0
KELT-7 b,17.183397,406.8224,0.04415,6789.0,0
KELT-8 b,20.84874,272.69814,0.0455,5754.0,0
KELT-8 b,20.84874,275.55861,0.04571,5754.0,0
KELT-9 b,21.196219,915.3504,0.03462,10170.0,0
KOI-12 b,16.02887,3178.3,0.151,6820.0,0
KOI-1257 b,10.54,460.83,0.382,5520.0,0
KOI-13 b,16.948008,2949.4624,0.03641,7650.0,0
KOI-134 b,12.03844527,346.43296363,0.363,6160.0,0
KOI-2513.01,2.80224517,7310.053361,0.5,5900.0,0
KOI-3680 b,11.09691,613.4119,0.534,5830.0,0
KOI-4777.01,0.51,99.2,0.008,3515.0,0
KOI-55 b,0.759,0.44,0.006,27730.0,0
KOI-55 c,0.867,0.655,0.0076,27730.0,0
KOI-94 b,1.71,10.5,0.05119,6182.0,0
KOI-94 c,4.32,15.6,0.1013,6182.0,0
KOI-94 d,11.27,106.0,0.1684,6182.0,0
KOI-94 e,6.56,35.0,0.3046,6182.0,0
KPS-1 b,11.54527,346.4347,0.0269,5165.0,0
Kepler-10 b,1.47,3.72,0.01685,5708.0,0
Kepler-10 b,1.47,3.24,0.01685,5708.0,0
Kepler-10 b,1.416,4.56,0.01684,5627.0,0
Kepler-10 b,1.47,3.33,0.01685,5708.0,0
Kepler-10 b,1.4807089,4.608535,0.0172,5627.0,0
Kepler-10 b,1.47,3.26,0.01685,5708.0,0
Kepler-10 b,1.46,4.6,0.01687,5643.0,0
Kepler-10 c,2.355,11.29,0.241,5708.0,0
Kepler-10 c,2.227,20.0,0.2407,5627.0,0
Kepler-10 c,2.35,13.98,0.241,5708.0,0
Kepler-10 c,2.355,11.4,0.241,5708.0,0
Kepler-101 b,5.77,51.1,0.0474,5667.0,0
Kepler-101 c,1.25,3.78,0.0684,5667.0,0
Kepler-102 b,0.46,1.1,0.05521,4909.0,0
Kepler-102 c,0.567,1.7,0.06702,4909.0,0
Kepler-102 d,1.154,3.0,0.08618,4909.0,0
Kepler-102 e,2.17,4.7,0.1162,4909.0,0
Kepler-102 f,0.861,4.3,0.1656,4909.0,0
Kepler-103 b,3.486,9.8,0.13223,6009.0,0
Kepler-103 c,5.45,38.0,0.6639,6009.0,0
Kepler-107 b,1.536,3.8,0.04544,5854.0,0
Kepler-107 b,1.536,3.51,0.04544,5854.0,0
Kepler-107 c,1.597,9.39,0.06064,5854.0,0
Kepler-107 c,1.597,10.0,0.06064,5854.0,0
Kepler-107 d,0.86,3.8,0.08377,5854.0,0
Kepler-107 d,0.86,7.7,0.08377,5854.0,0
Kepler-107 e,2.903,8.6,0.12639,5854.0,0
Kepler-107 e,2.903,14.1,0.12638,5854.0,0
Kepler-109 b,2.49,4.9,0.0701,5950.0,0
Kepler-109 c,2.65,8.2,0.1546,5950.0,0
Kepler-11 b,1.97,4.3,0.091,5680.0,0
Kepler-11 b,1.8,1.9,0.091,5663.0,0
Kepler-11 c,3.15,13.5,0.106,5680.0,0
Kepler-11 c,2.87,2.9,0.107,5663.0,0
Kepler-11 d,3.12,7.3,0.155,5663.0,0
Kepler-11 d,3.43,6.1,0.159,5680.0,0
Kepler-11 e,4.19,8.0,0.195,5663.0,0
Kepler-11 e,4.52,8.4,0.194,5680.0,0
Kepler-11 f,2.49,2.0,0.25,5663.0,0
Kepler-11 f,2.61,2.3,0.25,5680.0,0
Kepler-11 g,3.66,300.0,0.462,5680.0,0
Kepler-11 g,3.33,25.0,0.466,5663.0,0
Kepler-111 c,7.0840758,222.4798849,0.751,5914.0,0
Kepler-117 b,8.059,29.875,0.1445,6150.0,0
Kepler-117 c,12.341,584.78,0.2804,6150.0,0
Kepler-12 b,19.660586,137.30256,0.0553,5947.0,0
Kepler-12 b,18.999,136.979,0.0556,5947.0,0
Kepler-12 b,19.122554,136.6669,0.0555,5947.0,0
Kepler-12 b,18.999255,137.62039,0.05563,5950.0,0
Kepler-129 b,2.4,20.0,0.13,5770.0,0
Kepler-129 c,2.52,43.0,0.39,5770.0,0
Kepler-138 b,0.64,0.07,0.0753,3841.0,0
Kepler-138 c,1.51,2.3,0.0913,3841.0,0
Kepler-138 d,1.51,2.1,0.1288,3841.0,0
Kepler-14 b,12.621334,2440.9344,0.0771,6395.0,0
Kepler-15 b,10.76064,201.18639,0.05705,5520.0,0
Kepler-15 b,14.448401,221.20968,0.0583,5595.0,0
Kepler-15 b,10.76,209.76,0.05714,5515.0,0
Kepler-1514 b,12.419572,1678.1424,0.753,6145.0,0
Kepler-16 b,8.4493,105.833,0.7048,4450.0,0
Kepler-1647 b,11.8739,483.0,2.7205,6210.0,0
Kepler-1654 b,9.180171,158.915,2.026,5597.0,0
Kepler-1655 b,2.213,5.4,0.1029,6148.0,0
Kepler-1655 b,2.213,5.0,0.103,6148.0,0
Kepler-1656 b,5.02,48.6,0.197,5731.0,0
Kepler-1658 b,11.99363,1868.8404,0.0544,6216.0,0
Kepler-1661 b,3.87,17.0,0.633,5100.0,0
Kepler-167 e,10.16,321.00669107,1.883,4884.0,0
Kepler-17 b,14.68,778.65,0.02591,5781.0,0
Kepler-17 b,14.68379,743.7222,0.02605,5781.0,0
Kepler-17 b,14.90797,785.0401,0.0268,5781.0,0
Kepler-1704 b,11.94877343,1322.16617312,2.027,5746.0,0
Kepler-1708 b,9.96,1462.0106722,1.64,6157.0,0
